exam_name,class,subject,date,student_id,status,created_at,time
"Mid Term Examination 2025-26",Five,English,2025-12-18,1,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Five,English,2025-12-18,2,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Five,English,2025-12-18,3,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Five,English,2025-12-18,4,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Five,English,2025-12-18,5,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Five,English,2025-12-18,6,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Five,English,2025-12-18,7,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Five,English,2025-12-18,8,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Five,English,2025-12-18,9,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Five,English,2025-12-18,10,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Five,English,2025-12-18,11,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Five,English,2025-12-18,12,P,"2025-12-18 23:45:39"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,13,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,14,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,15,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,16,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,17,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,18,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,19,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,20,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,21,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,22,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,23,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,24,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,25,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,26,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,27,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,28,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,29,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,30,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,31,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,32,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,33,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,34,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,35,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,36,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,37,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,38,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,39,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,ENG,2025-12-15,40,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,MATH,2025-12-16,13,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,MATH,2025-12-16,14,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,MATH,2025-12-16,15,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,MATH,2025-12-16,16,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,MATH,2025-12-16,17,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
"Mid Term Examination 2025-26",Four,MATH,2025-12-16,18,P,"2025-12-27 18:42:12","9:00 AM - 11:00 AM"
