id,item_name,category_id,quantity,purchase_date,cost,condition,status,disposal_date,disposal_reason,remarks,created_at
6,"White Boards",2,5,2026-01-06,,New,Active,,,"These boards was purchsed by sSir muhmmad hassan jarwar and in which 2 boards are purchased by sir abdul rafay","2026-01-06 13:05:15"
7,Fans,1,5,2026-01-06,,New,Active,,,"These fans was purchsed by sir muhammad hassan jarwar","2026-01-06 13:06:02"
8,Bat,3,13,2026-01-07,,New,Active,,,,"2026-01-07 23:58:51"
9,Wicket,3,11,2026-01-07,,New,Active,,,,"2026-01-07 23:59:09"
10,Bat,3,1,2026-01-07,,Damaged,"Dead Stock",2026-01-07,Broken/Damaged,"Damaged by students","2026-01-07 23:59:36"
11,Chairs,4,8,2020-01-15,,New,Active,,,"Some Chairs are in repairable conditions","2026-01-15 11:56:00"
12,Benches,4,33,2026-01-15,,New,Active,,,,"2026-01-15 12:02:28"
13,Benches,4,4,2026-01-15,,Damaged,"Dead Stock",2026-01-15,Broken/Damaged,"In repair able Conditions","2026-01-15 12:03:46"
14,Almirah,4,3,2026-01-15,,New,Active,,,,"2026-01-15 12:05:24"
15,"Black Board",2,1,2026-01-15,,Repairable,Active,,,,"2026-01-15 12:06:11"
16,"Bulbs and TubeLight",1,8,2026-01-15,,Fair,Active,,,"7 Bulb and 1 Tubelight","2026-01-15 12:07:12"
17,Tables,4,3,2026-01-15,,New,Active,,,,"2026-01-15 12:08:34"
18,Meters,1,2,2026-01-15,,New,Active,,,"One meter in operation and 1 kept in Almirah","2026-01-15 12:09:41"
